source_name,source_column,staging_model,staging_column,mart_model,mart_column,status,checked_at
premiums,POLICY_KEY,stg_premiums,,,,dropped_at_staging,2026-02-02T15:15:11.771699
premiums,EFFECTIVE_DATE,stg_premiums,EFFECTIVE_DATE,,,propagated_to_staging,2026-02-02T15:15:11.771699
premiums,GROSS_PREMIUM_AMOUNT,stg_premiums,GROSS_PREMIUM_AMOUNT,,,propagated_to_staging,2026-02-02T15:15:11.771699
premiums,FEES,stg_premiums,FEES,,,propagated_to_staging,2026-02-02T15:15:11.771699
premiums,DISCOUNTS,stg_premiums,DISCOUNTS,,,propagated_to_staging,2026-02-02T15:15:11.771699
premiums,NET_PREMIUM_AMOUNT,stg_premiums,NET_PREMIUM_AMOUNT,,,propagated_to_staging,2026-02-02T15:15:11.771699
products,PRODUCT_KEY,stg_products,,,,dropped_at_staging,2026-02-02T15:15:11.771699
products,NAME,stg_products,,,,dropped_at_staging,2026-02-02T15:15:11.771699
products,COVERAGE_TYPE,stg_products,COVERAGE_TYPE,,,propagated_to_staging,2026-02-02T15:15:11.771699
vehicles,VEHICLE_VIN,stg_vehicles,VEHICLE_VIN,,,propagated_to_staging,2026-02-02T15:15:11.771699
vehicles,MAKE,stg_vehicles,MAKE,,,propagated_to_staging,2026-02-02T15:15:11.771699
vehicles,MODEL,stg_vehicles,MODEL,,,propagated_to_staging,2026-02-02T15:15:11.771699
vehicles,YEAR,stg_vehicles,YEAR,,,propagated_to_staging,2026-02-02T15:15:11.771699
vehicles,VEHICLE_TYPE,stg_vehicles,VEHICLE_TYPE,,,propagated_to_staging,2026-02-02T15:15:11.771699
